movie_num,movie_name,movie_year,movie_country,movie_type,movie_director,movie_score,movie_assess
1,肖申克的救赎,1994,美国,犯罪,弗兰克·德拉邦特,9.6,1393335
2,霸王别姬,1993,中国大陆,剧情,陈凯歌,9.6,1031724
3,这个杀手不太冷,1994,法国,剧情,吕克·贝松,9.4,1272902
4,阿甘正传,1994,美国,剧情,罗伯特·泽米吉斯,9.4,1097399
5,美丽人生,1997,意大利,剧情,罗伯托·贝尼尼,9.5,642352
6,泰坦尼克号,1997,美国,剧情,詹姆斯·卡梅隆,9.3,1037777
7,千与千寻,2001,日本,剧情,宫崎骏,9.3,1023390
8,辛德勒的名单,1993,美国,剧情,史蒂文·斯皮尔伯格,9.5,573024
9,盗梦空间,2010,美国,剧情,克里斯托弗·诺兰,9.3,1104480
10,忠犬八公的故事,2009,美国,剧情,莱塞·霍尔斯道姆,9.3,727130
11,机器人总动员,2008,美国,爱情,安德鲁·斯坦顿,9.3,731804
12,三傻大闹宝莱坞,2009,印度,剧情,拉库马·希拉尼,9.2,991494
13,海上钢琴师,1998,意大利,剧情,朱塞佩·托纳多雷,9.2,814205
14,放牛班的春天,2004,法国,剧情,克里斯托夫·巴拉蒂,9.3,686262
15,楚门的世界,1998,美国,剧情,彼得·威尔,9.2,757474
16,大话西游之大圣娶亲,1995,香港,喜剧,刘镇伟,9.2,766664
17,星际穿越,2014,美国,剧情,克里斯托弗·诺兰,9.2,786975
18,龙猫,1988,日本,动画,宫崎骏,9.2,677868
19,教父,1972,美国,剧情,弗朗西斯·福特·科波拉,9.2,497763
20,熔炉,2011,韩国,剧情,黄东赫,9.3,442887
21,无间道,2002,香港,剧情,刘伟强,9.1,629437
22,疯狂动物城,2016,美国,喜剧,拜伦·霍华德,9.2,863747
23,当幸福来敲门,2006,美国,剧情,加布里尔·穆奇诺,9.0,802066
24,怦然心动,2010,美国,剧情,罗伯·莱纳,9.0,885428
25,触不可及,2011,法国,剧情,奥利维·那卡什,9.2,529728
26,蝙蝠侠：黑暗骑士,2008,美国,剧情,克里斯托弗·诺兰,9.1,511375
27,乱世佳人,1939,美国,剧情,维克多·弗莱明,9.2,369410
28,活着,1994,中国大陆,剧情,张艺谋,9.2,409884
29,少年派的奇幻漂流,2012,美国,剧情,李安,9.0,801768
30,控方证人,1957,美国,剧情,比利·怀尔德,9.6,175519
31,天堂电影院,1988,意大利,剧情,朱塞佩·托纳多雷,9.2,397155
32,鬼子来了,2000,中国大陆,剧情,姜文,9.2,335212
33,指环王3：王者无敌,2003,美国,剧情,彼得·杰克逊,9.1,402166
34,十二怒汉,1957,美国,剧情,Sidney,9.4,238702
35,天空之城,1986,日本,动画,宫崎骏,9.1,471013
36,摔跤吧！爸爸,2016,印度,剧情,涅提·蒂瓦里,9.1,766202
37,飞屋环游记,2009,美国,剧情,彼特·道格特,8.9,717628
38,大话西游之月光宝盒,1995,香港,喜剧,刘镇伟,9.0,618819
39,搏击俱乐部,1999,美国,剧情,大卫·芬奇,9.0,515015
40,罗马假日,1953,美国,喜剧,威廉·惠勒,9.0,536896
41,哈尔的移动城堡,2004,日本,动画,宫崎骏,9.0,520597
42,闻香识女人,1992,美国,剧情,马丁·布莱斯,9.0,458621
43,辩护人,2013,韩国,剧情,杨宇硕,9.2,316956
44,窃听风暴,2006,德国,剧情,弗洛里安·亨克尔·冯·多纳斯马尔克,9.1,318490
45,两杆大烟枪,1998,英国,剧情,Guy,9.1,352613
46,末代皇帝,1987,英国,剧情,贝纳尔多·贝托鲁奇,9.1,309506
47,飞越疯人院,1975,美国,剧情,米洛斯·福尔曼,9.1,355275
48,死亡诗社,1989,美国,剧情,彼得·威尔,9.0,389310
49,素媛,2013,韩国,剧情,李濬益,9.2,286704
50,指环王2：双塔奇兵,2002,美国,剧情,彼得·杰克逊,9.0,377718
51,寻梦环游记,2017,美国,喜剧,李·昂克里奇,9.0,730293
52,V字仇杀队,2005,美国,剧情,詹姆斯·麦克特格,8.8,594642
53,教父2,1974,美国,剧情,弗朗西斯·福特·科波拉,9.2,269721
54,指环王1：魔戒再现,2001,新西兰,剧情,彼得·杰克逊,9.0,423316
55,海豚湾,2009,美国,纪录片,路易·西霍尤斯,9.3,234273
56,饮食男女,1994,台湾,剧情,李安,9.1,290153
57,狮子王,1994,美国,剧情,Roger,9.0,402832
58,美丽心灵,2001,美国,传记,朗·霍华德,8.9,412658
59,情书,1995,日本,剧情,岩井俊二,8.9,513165
60,钢琴家,2002,法国,剧情,罗曼·波兰斯基,9.1,272189
61,本杰明·巴顿奇事,2008,美国,剧情,大卫·芬奇,8.8,538297
62,美国往事,1984,意大利,犯罪,赛尔乔·莱翁内,9.1,233242
63,看不见的客人,2016,西班牙,剧情,奥里奥尔·保罗,8.8,571893
64,黑客帝国,1999,美国,动作,安迪·沃卓斯基,8.9,402689
65,小鞋子,1997,伊朗,剧情,马基德·马基迪,9.2,199839
66,西西里的美丽传说,2000,意大利,剧情,朱塞佩·托纳多雷,8.8,509455
67,
68,哈利·波特与魔法石,2001,美国,奇幻,Chris,8.9,422168
69,让子弹飞,2010,中国大陆,剧情,姜文,8.7,877786
70,拯救大兵瑞恩,1998,美国,剧情,史蒂文·斯皮尔伯格,8.9,343275
71,致命魔术,2006,美国,剧情,克里斯托弗·诺兰,8.8,467465
72,七宗罪,1995,美国,剧情,大卫·芬奇,8.8,561298
73,被嫌弃的松子的一生,2006,日本,剧情,中岛哲也,8.9,414785
74,音乐之声,1965,美国,剧情,罗伯特·怀斯,9.0,315856
75,低俗小说,1994,美国,剧情,昆汀·塔伦蒂诺,8.8,461070
76,天使爱美丽,2001,法国,喜剧,让-皮埃尔·热内,8.7,623865
77,沉默的羔羊,1991,美国,剧情,乔纳森·戴米,8.8,467128
78,勇敢的心,1995,美国,动作,梅尔·吉布森,8.9,370320
79,猫鼠游戏,2002,美国,传记,史蒂文·斯皮尔伯格,8.9,359841
80,蝴蝶效应,2004,美国,剧情,埃里克·布雷斯,8.7,514197
81,剪刀手爱德华,1990,美国,剧情,蒂姆·波顿,8.7,638508
82,春光乍泄,1997,香港,剧情,王家卫,8.9,342307
83,心灵捕手,1997,美国,剧情,格斯·范·桑特,8.8,374922
84,禁闭岛,2010,美国,剧情,Martin,8.7,499863
85,布达佩斯大饭店,2014,美国,剧情,韦斯·安德森,8.8,462841
86,穿条纹睡衣的男孩,2008,英国,剧情,马克·赫尔曼,9.0,229304
87,入殓师,2008,日本,剧情,泷田洋二郎,8.8,386526
88,阿凡达,2009,美国,动作,詹姆斯·卡梅隆,8.7,733862
89,幽灵公主,1997,日本,动画,宫崎骏,8.8,314385
90,阳光灿烂的日子,1994,中国大陆,剧情,姜文,8.8,359712
91,致命ID,2003,美国,剧情,James,8.7,428389
92,第六感,1999,美国,剧情,M·奈特·沙马兰,8.8,308149
93,加勒比海盗,2003,美国,动作,戈尔·维宾斯基,8.7,482767
94,狩猎,2012,丹麦,剧情,托马斯·温特伯格,9.1,184825
95,玛丽和马克思,2009,澳大利亚,剧情,亚当·艾略特,8.9,278592
96,断背山,2005,美国,剧情,李安,8.7,423337
97,重庆森林,1994,香港,剧情,王家卫,8.7,440884
98,摩登时代,1936,美国,剧情,查理·卓别林,9.2,134838
99,喜剧之王,1999,香港,喜剧,周星驰,8.7,470095
100,告白,2010,日本,剧情,中岛哲也,8.7,442732
101,大鱼,2003,美国,剧情,蒂姆·波顿,8.8,327959
102,消失的爱人,2014,美国,剧情,大卫·芬奇,8.7,490749
103,一一,2000,台湾,剧情,杨德昌,9.0,199577
104,射雕英雄传之东成西就,1993,香港,喜剧,刘镇伟,8.7,361948
105,阳光姐妹淘,2011,韩国,剧情,姜炯哲,8.8,354556
106,甜蜜蜜,1996,香港,剧情,陈可辛,8.8,291950
107,爱在黎明破晓前,1995,美国,剧情,理查德·林克莱特,8.8,301301
108,小森林 夏秋篇,2014,日本,剧情,森淳一,9.0,204181
109,驯龙高手,2010,美国,动画,迪恩·德布洛斯,8.7,405294
110,侧耳倾听,1995,日本,剧情,近藤喜文,8.8,234770
111,红辣椒,2006,日本,动画,今敏,8.9,192911
112,请以你的名字呼唤我,2017,意大利,剧情,卢卡·瓜达尼诺,8.8,292521
113,倩女幽魂,1987,香港,爱情,程小东,8.7,369070
114,恐怖直播,2013,韩国,剧情,金秉祐,8.7,323961
115,风之谷,1984,日本,动画,宫崎骏,8.8,231597
116,上帝之城,2002,巴西,犯罪,Kátia,8.9,191592
117,超脱,2011,美国,剧情,托尼·凯耶,8.8,237938
118,爱在日落黄昏时,2004,美国,剧情,理查德·林克莱特,8.8,263406
119,菊次郎的夏天,1999,日本,剧情,北野武,8.8,257961
120,幸福终点站,2004,美国,喜剧,史蒂文·斯皮尔伯格,8.7,291870
121,哈利·波特与死亡圣器(下),2011,美国,剧情,大卫·叶茨,8.7,380006
122,小森林 冬春篇,2015,日本,剧情,森淳一,9.0,178251
123,杀人回忆,2003,韩国,犯罪,奉俊昊,8.7,282562
124,7号房的礼物,2013,韩国,剧情,李焕庆,8.8,251327
125,神偷奶爸,2010,美国,喜剧,皮艾尔·柯芬,8.5,531101
126,借东西的小人阿莉埃蒂,2010,日本,动画,米林宏昌,8.7,286269
127,萤火之森,2011,日本,剧情,大森贵弘,8.8,234936
128,唐伯虎点秋香,1993,香港,喜剧,李力持,8.5,497228
129,蝙蝠侠：黑暗骑士崛起,2012,美国,剧情,克里斯托弗·诺兰,8.7,387305
130,超能陆战队,2014,美国,喜剧,唐·霍尔,8.6,520488
131,怪兽电力公司,2001,美国,儿童,彼特·道格特,8.6,337361
132,岁月神偷,2010,香港,剧情,罗启锐,8.7,376982
133,电锯惊魂,2004,美国,悬疑,詹姆斯·温,8.7,265918
134,七武士,1954,日本,动作,黑泽明,9.2,102762
135,谍影重重3,2007,美国,动作,保罗·格林格拉斯,8.7,239200
136,真爱至上,2003,英国,喜剧,理查德·柯蒂斯,8.6,410557
137,疯狂原始人,2013,美国,喜剧,科克·德·米科,8.7,486914
138,无人知晓,2004,日本,剧情,是枝裕和,9.1,115826
139,喜宴,1993,台湾,剧情,李安,8.9,183747
140,萤火虫之墓,1988,日本,动画,高畑勋,8.7,257078
141,东邪西毒,1994,香港,剧情,王家卫,8.6,339605
142,英雄本色,1986,香港,动作,吴宇森,8.6,252779
143,贫民窟的百万富翁,2008,英国,剧情,丹尼·鲍尔,8.5,477651
144,黑天鹅,2010,美国,剧情,达伦·阿罗诺夫斯基,8.5,523388
145,记忆碎片,2000,美国,犯罪,克里斯托弗·诺兰,8.6,354908
146,血战钢锯岭,2016,美国,剧情,梅尔·吉布森,8.7,440135
147,心迷宫,2014,中国大陆,剧情,忻钰坤,8.7,255828
148,傲慢与偏见,2005,法国,剧情,乔·怀特,8.5,400941
149,时空恋旅人,2013,英国,喜剧,理查德·柯蒂斯,8.7,280325
150,荒蛮故事,2014,阿根廷,剧情,达米安·斯兹弗隆,8.8,205483
151,雨人,1988,美国,剧情,巴瑞·莱文森,8.7,255061
152,纵横四海,1991,香港,剧情,吴宇森,8.7,208829
153,教父3,1990,美国,剧情,弗朗西斯·福特·科波拉,8.8,177803
154,达拉斯买家俱乐部,2013,美国,剧情,让-马克·瓦雷,8.7,248964
155,玩具总动员3,2010,美国,喜剧,李·昂克里奇,8.8,250371
156,完美的世界,1993,美国,剧情,克林特·伊斯特伍德,9.1,111921
157,卢旺达饭店,2004,英国,剧情,特瑞·乔治,8.9,153308
158,花样年华,2000,香港,剧情,王家卫,8.6,317438
159,海边的曼彻斯特,2016,美国,剧情,肯尼斯·罗纳根,8.6,276918
160,海洋,2009,法国,纪录片,雅克·贝汉,9.0,112988
161,恋恋笔记本,2004,美国,剧情,尼克·卡索维茨,8.5,363937
162,虎口脱险,1966,法国,喜剧,杰拉尔·乌里,8.9,133008
163,你看起来好像很好吃,2010,日本,剧情,藤森雅也,8.8,190237
164,被解救的姜戈,2012,美国,剧情,昆汀·塔伦蒂诺,8.6,333899
165,二十二,2015,中国大陆,纪录片,郭柯,8.7,154656
166,头脑特工队,2015,美国,喜剧,彼特·道格特,8.7,315946
167,无敌破坏王,2012,美国,喜剧,瑞奇·莫尔,8.7,283780
168,冰川时代,2002,美国,喜剧,卡洛斯·沙尔丹哈,8.5,355694
169,你的名字。,2016,日本,剧情,新海诚,8.4,689080
170,三块广告牌,2017,美国,剧情,马丁·麦克唐纳,8.7,450800
171,燃情岁月,1994,美国,剧情,爱德华·兹威克,8.8,176739
172,雨中曲,1952,美国,喜剧,斯坦利·多南,9.0,117984
173,我是山姆,2001,美国,剧情,杰茜·尼尔森,8.9,140515
174,爆裂鼓手,2014,美国,剧情,达米恩·查泽雷,8.6,306060
175,人工智能,2001,美国,冒险,史蒂文·斯皮尔伯格,8.6,245105
176,未麻的部屋,1997,日本,动画,今敏,8.9,135156
177,穿越时空的少女,2006,日本,剧情,细田守,8.6,233887
178,魂断蓝桥,1940,美国,剧情,茂文·勒鲁瓦,8.8,157340
179,猜火车,1996,英国,剧情,丹尼·博伊尔,8.5,295630
180,模仿游戏,2014,英国,剧情,莫滕·泰杜姆,8.6,333485
181,一个叫欧维的男人决定去死,2015,瑞典,剧情,汉内斯·赫尔姆,8.8,179076
182,房间,2015,爱尔兰,剧情,伦尼·阿伯拉罕森,8.8,213347
183,忠犬八公物语,1987,日本,剧情,Seijirô,9.1,87925
184,完美陌生人,2016,意大利,剧情,保罗·格诺维瑟,8.5,312000
185,恐怖游轮,2009,英国,剧情,克里斯托弗·史密斯,8.4,429835
186,罗生门,1950,日本,犯罪,黑泽明,8.7,164950
187,魔女宅急便,1989,日本,动画,宫崎骏,8.6,259563
188,阿飞正传,1990,香港,犯罪,王家卫,8.5,277280
189,香水,2006,德国,剧情,汤姆·提克威,8.5,344485
190,哪吒闹海,1979,中国大陆,冒险,严定宪,8.9,112494
191,浪潮,2008,德国,剧情,丹尼斯·甘塞尔,8.7,165236
192,朗读者,2008,美国,剧情,史蒂芬·戴德利,8.5,322976
193,黑客帝国3：矩阵革命,2003,美国,动作,Andy,8.6,208762
194,海街日记,2015,日本,剧情,是枝裕和,8.7,194329
195,可可西里,2004,中国大陆,剧情,陆川,8.7,162201
196,谍影重重2,2004,美国,动作,保罗·格林格拉斯,8.6,206424
197,谍影重重,2002,美国,动作,道格·里曼,8.5,246266
198,战争之王,2005,美国,剧情,安德鲁·尼科尔,8.6,213747
199,牯岭街少年杀人事件,1991,台湾,剧情,杨德昌,8.8,139325
200,地球上的星星,2007,印度,剧情,阿米尔·汗,8.9,112013
201,青蛇,1993,香港,剧情,徐克,8.5,286580
202,惊魂记,1960,美国,悬疑,Alfred,8.9,111789
203,,2006,中国大陆,喜剧,,8.4,423375
204,一次别离,2011,伊朗,剧情,阿斯哈·法哈蒂,8.7,161177
205,追随,1998,英国,犯罪,克里斯托弗·诺兰,8.9,102713
206,终结者2：审判日,1991,美国,动作,詹姆斯·卡梅隆,8.6,186498
207,源代码,2011,美国,科幻,邓肯·琼斯,8.4,499513
208,初恋这件小事,2010,泰国,剧情,普特鹏·普罗萨卡·那·萨克那卡林,8.3,593682
209,小萝莉的猴神大叔,2015,印度,剧情,卡比尔·汗,8.5,245560
210,步履不停,2008,日本,剧情,是枝裕和,8.8,126052
211,
212,新龙门客栈,1992,香港,动作,李惠民,8.5,241353
213,再次出发之纽约遇见你,2013,美国,喜剧,约翰·卡尼,8.5,229315
214,撞车,2004,美国,犯罪,保罗·哈吉斯,8.6,210530
215,梦之安魂曲,2000,美国,剧情,达伦·阿伦诺夫斯基,8.7,137883
216,爱在午夜降临前,2013,美国,剧情,理查德·林克莱特,8.8,154365
217,海蒂和爷爷,2015,德国,剧情,阿兰·葛斯彭纳,9.1,82934
218,无耻混蛋,2009,美国,剧情,Quentin,8.5,276907
219,东京物语,1953,日本,剧情,,9.2,67344
220,城市之光,1931,美国,喜剧,Charles,9.3,60472
221,绿里奇迹,1999,美国,犯罪,Frank,8.7,136118
222,彗星来的那一夜,2013,美国,科幻,詹姆斯·沃德·布柯特,8.5,254258
223,血钻,2006,美国,剧情,爱德华·兹威克,8.6,179620
224,这个男人来自地球,2007,美国,剧情,理查德·沙因克曼,8.5,233469
225,E.T. 外星人,1982,美国,剧情,Steven,8.5,199859
226,2001太空漫游,1968,英国,科幻,斯坦利·库布里克,8.7,136516
227,末路狂花,1991,美国,犯罪,雷德利·斯科特,8.7,130698
228,聚焦,2015,美国,剧情,托马斯·麦卡锡,8.8,163227
229,勇闯夺命岛,1996,美国,动作,迈克尔·贝,8.6,173629
230,变脸,1997,美国,动作,吴宇森,8.4,260558
231,发条橙,1971,英国,犯罪,Stanley,8.5,226709
232,功夫,2004,中国大陆,动作,周星驰,8.3,411730
233,秒速5厘米,2007,日本,动画,新海诚,8.3,387464
234,黄金三镖客,1966,意大利,冒险,Sergio,9.1,66889
235,黑鹰坠落,2001,美国,动作,雷德利·斯科特,8.6,157301
236,非常嫌疑犯,1995,德国,剧情,布莱恩·辛格,8.6,152700
237,卡萨布兰卡,1942,美国,剧情,迈克尔·柯蒂兹,8.6,152651
238,我爱你,2011,韩国,剧情,秋昌民,9.0,78605
239,国王的演讲,2010,英国,剧情,汤姆·霍珀,8.4,416198
240,千钧一发,1997,美国,剧情,安德鲁·尼科尔,8.7,120340
241,疯狂的麦克斯4：狂暴之路,2015,澳大利亚,动作,乔治·米勒,8.6,271626
242,美国丽人,1999,美国,剧情,萨姆·门德斯,8.5,226778
243,遗愿清单,2007,美国,冒险,罗伯·莱纳,8.6,174412
244,奇迹男孩,2017,美国,剧情,斯蒂芬·卓博斯基,8.6,288561
245,碧海蓝天,1988,法国,剧情,Luc,8.7,120171
246,驴得水,2016,中国大陆,剧情,周申,8.3,462179
247,荒岛余生,2000,美国,冒险,罗伯特·泽米吉斯,8.5,173896
248,枪火,1999,香港,剧情,杜琪峰,8.7,126551
249,英国病人,1996,美国,爱情,安东尼·明格拉,8.5,204645
250,荒野生存,2007,美国,冒险,西恩·潘,8.6,155366
